distancia_final,Place of interest,Place address,Type of place,BiciMAD station,Station location
4256.791685109048,Asambleas de Evangelización Mundial para Cristo (AEMC),CALLE ANTONIA RODRIGUEZ SACRISTAN 8,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
721.7844549051359,Asociación Darse - Dar Ayuda para la Reinserción Social España,CAMINO ALTO DE SAN ISIDRO 16 PLANTA 2º C C,Templos no católicos,212 - Marqués de Vadillo,Glorieta Marqués de Vadillo nº 9
393.10478650909414,Asociación Tiempo Para Cuidar,CALLE GENERAL LACY 24 PLANTA BAJA A,Templos no católicos,172 - Delicias,Calle Bustamante nº 1
3444.2604383608136,Asociación Visión Internacional,CALLE DISCOBOLO 53,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
82.22218408966398,Basílica Jesús de Medinaceli,PLAZA JESUS 2,Templos católicos,27 - Huertas,Calle Jesús nº 1
188.21133811362824,Basílica La Milagrosa,CALLE GARCIA DE PAREDES 45,Templos católicos,125 - General Martínez Campos ,Calle Fernández de la Hoz nº 29
73.28893949565581,Basílica Pontificia de San Miguel,CALLE SAN JUSTO 4,Templos católicos,35 - Plaza del Cordón,Plaza del Cordón
117.36146615593933,Capilla Nuestra Señora de la Bien Aparecida,CALLE PIO BAROJA 2,Templos católicos,71 - Doce de Octubre,Calle Doce de Octubre nº 28
69.21780608737768,Capilla de San Ignacio de los Vascos,CALLE PRINCIPE 31,Templos católicos,52 - Plaza de Santa Ana,Plaza de Santa Ana nº 10
160.92234769522213,Capilla de San Isidro,CALLE AGUILA 1,Templos católicos,38 - Plaza de los Carros,Carrera de San Francisco nº 1
127.87050807694803,Capilla de la Virgen de Nuria,CALLE JUAN DE URBIETA 5,Templos católicos,178 - Junta Municipal Retiro,Calle León Gil de Palacio nº 3
164.38193402177896,Catedral Anglicana de Madrid,CALLE BENEFICENCIA 18,Templos no católicos,7 - Hortaleza,Calle Hortaleza nº 75
385.0430594142544,Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio,CALLE NICARAGUA 12,Templos no católicos,160 - Colombia,Calle Colombia nº 7
191.11391506912418,Catedral Santa María la Real de la Almudena,CALLE BAILEN 10,Templos católicos,166 - Segovia 26,Calle Segovia nº 26
740.0856990387969,Centro Apostólico Cristo Viene,CALLE ANTONIO LOPEZ 236 PLANTA 1,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
5277.62395094984,Centro Cristiano Ciudad de Refugio,CALLE GODELLA 103 PLANTA 1 Derecha,Templos no católicos,235 - Embajadores 191,Calle Sodio nº 1B
218.53892495458717,Centro Cultural Islámico. Mezquita de Madrid,CALLE SALVADOR DE MADARIAGA 7,Templos no católicos,231 - Derechos Humanos,Calle Derechos Humanos nº 12
2545.4912909568734,Centro Evangélico de Restauración Aliento de Vida,CALLE PUERTO DE LAS PILAS 12,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
131.06931512061038,Centro de Evangelización Anuncio de Paz,CALLE PUERTO DEL MONASTERIO 10 PLANTA BAJO,Templos no católicos,227 - Concordia,Calle Arroyo del Olivar nº 6
3814.522573808107,Christ International Ministries,CALLE LA ALBERCA 1,Templos no católicos,261 - Facultad Derecho,Avenida Complutense nº 23
4436.413867009227,Comunidad Cristiana Decisión,CALLE MEQUINENZA 20 PLANTA local,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
3699.3130208587627,Comunidad Cristiana Eben-Ezer de la Villa de Vallecas,CALLE SIERRA DE TORTEJADA 2,Templos no católicos,221 - Pavones,Calle Hacienda de Pavones nº 342
35.28716800590483,Comunidad Cristiana Maranatha,CALLE GRANADA 8,Templos no católicos,79 - Puerta de Granada,Avenida de Menéndez Pelayo nº 38
5116.299712417217,Comunidad Cristiana Misionera Newma España,CALLE ANGOSTA 2 PLANTA 3ª D,Templos no católicos,213 - Glorieta de Cádiz,Calle Antonio López nº 129
2439.406450264736,Comunidad Eben-Ezer Dios Es Amor,CALLE VILLALOBOS 11 Esquina a Leoneses,Templos no católicos,226 - Sierra Toledana,Camino de Valderribas nº 94
52.30488698804163,Comunidad Evangélica de habla alemana,PASEO CASTELLANA 6,Templos no católicos,104 - Castellana,Paseo de la Castellana nº 4
1100.283334401852,Comunidad Sendero de la Cruz (Iglesia de Celebración Cristiana),CALLE MIGUEL FLETA 11,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
1914.8941786056982,Comunidad cristiana Eben-ezer de Pueblo Nuevo,CALLE JULIAN CAMARILLO 39,Templos no católicos,215 - Gutierre de Cetina,Calle Gutierre de Cetina nº 77
196.26890704525064,Comunidad cristiana El Faro,CALLE SIERRA DE ALCUBIERRE 2 y 4,Templos no católicos,227 - Concordia,Calle Arroyo del Olivar nº 6
